#separator:Comma
#html:false
#columns:Front,Back,Tags
#tags column:3
"New Project","Ctrl+N","quickstart::shortcuts"
"Open Project","Ctrl+O","quickstart::shortcuts"
"Close Project","Ctrl+W","quickstart::shortcuts"
"Save Project","Ctrl+S","quickstart::shortcuts"
"Import File","I","quickstart::shortcuts"
"Export Program","O","quickstart::shortcuts"
"Open File System","Ctrl+I","quickstart::shortcuts"
"Ghidra Help (context)","F1","quickstart::shortcuts"
"Set Key Binding","F4 (hover on action)","quickstart::shortcuts"
"Undo","Ctrl+Z","quickstart::shortcuts"
"Redo","Ctrl+Shift+Z","quickstart::shortcuts"
"Disassemble","D","quickstart::shortcuts"
"Clear Code/Data","C","quickstart::shortcuts"
"Add/Edit Label","L","quickstart::shortcuts"
"Rename Function","L (on function name field)","quickstart::shortcuts"
"Remove Label / Remove Function","Del","quickstart::shortcuts"
"Define / Retype Data","T","quickstart::shortcuts"
"Repeat Last Data Type","Y","quickstart::shortcuts"
"Rename Variable (Decompiler)","L","quickstart::shortcuts"
"Retype Variable (Decompiler)","Ctrl+L","quickstart::shortcuts"
"Cycle Integer Types","B","quickstart::shortcuts"
"Cycle String Types","'","quickstart::shortcuts"
"Cycle Float Types","F","quickstart::shortcuts"
"Create Array","[","quickstart::shortcuts"
"Create Pointer","P","quickstart::shortcuts"
"Create Structure (on selection)","Shift+[","quickstart::shortcuts"
"Set Comment","; (cursor in comment/code field)","quickstart::shortcuts"
"Delete Comment","Del (cursor on comment)","quickstart::shortcuts"
"Show References To","Ctrl+Shift+F","quickstart::shortcuts"
"Go To","G","quickstart::shortcuts"
"Back / Forward","Alt+Left / Alt+Right","quickstart::shortcuts"
"Next Function / Previous Function","Ctrl+Alt+F (or Ctrl+Down) / Ctrl+Up","quickstart::shortcuts"
"Next Bookmark","Ctrl+Alt+B","quickstart::shortcuts"
"Next Label","Ctrl+Alt+L","quickstart::shortcuts"
"Bookmarks window","Ctrl+B","quickstart::shortcuts"
"Decompiler window","Ctrl+E","quickstart::shortcuts"
"Search Memory","S","quickstart::shortcuts"
"Search Program Text","Ctrl+Shift+E","quickstart::shortcuts"
"Assemble / Patch Instruction","Ctrl+Shift+G","quickstart::shortcuts"
"Rerun Script","Ctrl+Shift+R","quickstart::shortcuts"
"68000: data registers","D0-D7 (32-bit)","amiga::68000"
"68000: address registers","A0-A7 (32-bit)","amiga::68000"
"68000: which register is the stack pointer, and its quirk","A7 - banked: USP in user mode, ISP/MSP in supervisor mode","amiga::68000"
"68000: CCR bits (bit 4 down to bit 0)","X N Z V C (Extend, Negative, Zero, Overflow, Carry)","amiga::68000"
"68000: endianness","Big-endian","amiga::68000"
"68000: MOVEM register list, how Ghidra prints it","Space-separated individual names (e.g. D2 D3 D4 A2 A3), not a compressed range","amiga::68000"
"68000: LINK An,#d16 does what","Push An; An = SP; SP += d16 (reserve d16 bytes of locals)","amiga::68000"
"68000: UNLK An does what","SP = An; pop saved value back into An","amiga::68000"
"68000: TRAP #n vector range","Vectors 32-47 (n = 0-15)","amiga::68000"
"Amiga: SysBase/ExecBase location","Address $4 (the only fixed absolute address in the system)","amiga::exec"
"Amiga: LVO reserved vectors","OPEN=-6, CLOSE=-12, EXPUNGE=-18, RESERVED=-24","amiga::exec"
"Amiga: LVO formula for user functions","LVO = -(N*6), continuing from -30 upward","amiga::exec"
"Amiga: OpenLibrary LVO","-552, called via JSR -552(A6) with SysBase in A6","amiga::exec"
"Amiga: Kickstart ROM range (A1000/A500/A2000)","$FC0000-$FFFFFF (256K)","amiga::exec"
"Amiga: custom chip register base address","$DFF000","amiga::chipregs"
"Amiga: DMACONR / DMACON offsets","DMACONR (read) = $002; DMACON (write) = $096","amiga::chipregs"
"Amiga: INTENAR / INTENA offsets","INTENAR (read) = $01C; INTENA (write) = $09A","amiga::chipregs"
"Amiga: INTREQR / INTREQ offsets","INTREQR (read) = $01E; INTREQ (write) = $09C","amiga::chipregs"
"Amiga: COP1LCH/COP1LCL offsets","$080 / $082 (Copper first location, high/low)","amiga::chipregs"
"Amiga: BLTCON0/BLTCON1 offsets","$040 / $042 (Blitter control)","amiga::chipregs"
"Amiga: BPLCON0 offset","$100 (bitplane control)","amiga::chipregs"
"Amiga: AUD0LCH/LEN/PER/VOL/DAT offsets","$0A0 / $0A4 / $0A6 / $0A8 / $0AA (channel 0; channels 1-3 at +$10 each)","amiga::chipregs"
"Amiga: DMACON/INTENA/INTREQ bit-15 write convention","Bit 15 selects SET vs CLEAR for whichever other written bits are 1","amiga::chipregs"
"Hunk: HUNK_HEADER id","1011 - load-file header, always first","amiga::hunk"
"Hunk: HUNK_CODE / HUNK_DATA / HUNK_BSS ids","1001 / 1002 / 1003","amiga::hunk"
"Hunk: HUNK_RELOC32 / HUNK_RELOC16 / HUNK_RELOC8 ids","1004 / 1005 / 1006","amiga::hunk"
"Hunk: HUNK_EXT id","1007 - external/global symbol defs and references","amiga::hunk"
"Hunk: HUNK_SYMBOL id","1008 - debug symbol names + offsets","amiga::hunk"
"Hunk: HUNK_END id","1010 - marks end of the current hunk","amiga::hunk"
"Hunk: does Ghidra ship a native Hunk loader?","No - use the community extension BartmanAbyss/ghidra-amiga, or manual Raw Binary per hunk","amiga::hunk"
"Atari ST: GEMDOS trap","TRAP #1 (vector 0x21, handler at $84)","atari::trap"
"Atari ST: BIOS trap","TRAP #13 (vector 0x2D, handler at $B4)","atari::trap"
"Atari ST: XBIOS trap","TRAP #14 (vector 0x2E, handler at $B8)","atari::trap"
"Atari ST: GEMDOS/BIOS/XBIOS calling convention","Args pushed reverse order, then 16-bit function number, then TRAP #n; caller cleans the stack","atari::trap"
"Atari ST: Mshrink() opcode","GEMDOS $4A (TRAP #1) - shrink process to actually-needed memory","atari::trap"
"Atari ST: Pexec() opcode","GEMDOS $4B (TRAP #1) - execute another process","atari::trap"
"Atari ST: Super() opcode","GEMDOS $20 (TRAP #1) - request/drop supervisor mode","atari::trap"
"Atari ST: how a program finds its basepage","move.l 4(sp),a0 near entry - passed as a stack argument, no fixed address","atari::basepage"
"Basepage: p_tbase / p_tlen offsets","$08 / $0C (TEXT segment base/length)","atari::basepage"
"Basepage: p_dbase / p_dlen offsets","$10 / $14 (DATA segment base/length)","atari::basepage"
"Basepage: p_bbase / p_blen offsets","$18 / $1C (BSS segment base/length)","atari::basepage"
"Basepage: p_parent offset","$24 - pointer to parent process's basepage","atari::basepage"
"Basepage: total size","256 bytes ($100)","atari::basepage"
"PRG/TOS header: magic value","$601A at offset 0x00 (WORD)","atari::prgheader"
"PRG/TOS header: PRG_tsize/dsize/bsize/ssize offsets","0x02 / 0x06 / 0x0A / 0x0E (each a LONG)","atari::prgheader"
"PRG/TOS header: PRGFLAGS offset","0x16 (LONG)","atari::prgheader"
"PRG/TOS header: ABSFLAG offset and trap","0x1A (WORD); nonzero should mean 'no fixups' but some TOS versions mishandle it - check the fixup offset field, don't trust ABSFLAG alone","atari::prgheader"
"PRG/TOS header: total header size and where TEXT starts","28 bytes (0x1C); TEXT always starts at 0x1C","atari::prgheader"
"PRG/TOS: where is the entry point stored?","Nowhere - always byte 0 of TEXT (0x1C), a fixed convention like Amiga's Hunk has no single fixed entry field either","atari::prgheader"
"6502: registers","A (8-bit accumulator), X/Y (8-bit index), SP (8-bit), PC (16-bit), P (8-bit flags)","c64::6502"
"6502: P register flag order (bit7->bit0)","N V - B D I Z C","c64::6502"
"6502: stack location","Fixed page $0100-$01FF (SP is an 8-bit index into it)","c64::6502"
"6502: NMI / RESET / IRQ-BRK vectors","$FFFA-$FFFB / $FFFC-$FFFD / $FFFE-$FFFF","c64::6502"
"6502: does Ghidra have a separate 6510 language?","No - only 6502:LE:16:default and 65C02:LE:16:default exist","c64::6502"
"6510: what's at $00/$01 that Ghidra doesn't model","On-chip I/O port: $00 = data-direction register, $01 = port register (bank switching)","c64::bankswitch"
"C64 bank switch: $01 bit 0","LORAM - high=BASIC ROM banked in at $A000-$BFFF","c64::bankswitch"
"C64 bank switch: $01 bit 1","HIRAM - high=KERNAL ROM banked in at $E000-$FFFF","c64::bankswitch"
"C64 bank switch: $01 bit 2","CHAREN - high=I/O banked in at $D000-$DFFF (instead of Char ROM)","c64::bankswitch"
"C64 bank switch: default/power-up mode","Mode 31 - LORAM=HIRAM=CHAREN=1 (all latch bits logically high)","c64::bankswitch"
"KERNAL $FFD2","CHROUT - write a character to the output channel","c64::kernal"
"KERNAL $FFCF","CHRIN - read a character from the input channel","c64::kernal"
"KERNAL $FFE4","GETIN - get a character from the input queue","c64::kernal"
"KERNAL $FFD5 / $FFD8","LOAD / SAVE - load/save RAM from/to a device","c64::kernal"
"KERNAL $FFC0 / $FFC3","OPEN / CLOSE - open/close a logical file","c64::kernal"
"KERNAL $FFBA / $FFBD","SETLFS / SETNAM - set logical file params / set filename","c64::kernal"
"KERNAL $FF81","SCINIT - init VIC/screen","c64::kernal"
"KERNAL $FF9F","SCNKEY - scan the keyboard","c64::kernal"
"KERNAL $FFE1","STOP - test the STOP key/scan queue","c64::kernal"
"KERNAL $FFED","SCREEN - read screen format (rows/columns)","c64::kernal"
"KERNAL $FFF0","PLOT - read/set cursor position","c64::kernal"
"KERNAL $FFB7","READST - read I/O status word","c64::kernal"
"KERNAL jump table range","$FF81-$FFF3, one 3-byte JMP per function, fixed across every KERNAL ROM revision","c64::kernal"
"VIC-II: border color register","$D020 (EC)","c64::vicsid"
"VIC-II: background color registers","$D021-$D024 (B0C-B3C)","c64::vicsid"
"VIC-II: control register 1 ($D011) key bits","RST8, ECM, BMM, DEN, RSEL, YSCROLL","c64::vicsid"
"VIC-II: raster line register","$D012 (RASTER) - current line (read) / IRQ compare line (write)","c64::vicsid"
"VIC-II: sprite enable / X-expand / Y-expand registers","$D015 (MxE) / $D01D (MxXE) / $D017 (MxYE)","c64::vicsid"
"VIC-II: memory pointers register","$D018 - VM13-VM10 (screen mem base), CB13-CB11 (char/bitmap mem base)","c64::vicsid"
"SID voice 1: frequency / pulse-width / control / ADSR registers","$D400-$D401 / $D402-$D403 / $D404 / $D405-$D406","c64::vicsid"
"SID: control register bit 0 / bit 4-7","GATE (start/stop envelope) / waveform select (triangle/sawtooth/pulse/noise)","c64::vicsid"
"SID: shared filter/volume registers","$D415-$D416 (cutoff), $D417 (resonance+routing), $D418 (mode+volume)","c64::vicsid"
"PRG format: header","2 bytes, little-endian load address, then raw bytes loaded verbatim at that address","c64::prgcrt"
"PRG format: conventional load address","$0801 - start of free BASIC program storage","c64::prgcrt"
"CRT format: signature and header length","'C64 CARTRIDGE  ' at $0000; header length LONG at $0010 (usually $40)","c64::prgcrt"
"CRT format: EXROM/GAME line fields","BYTE at $0018 (EXROM) and $0019 (GAME)","c64::prgcrt"
"CRT format: CHIP packet fields","signature 'CHIP' (+$00), total length (+$04), chip type (+$08), bank (+$0A), load address (+$0C), image size (+$0E)","c64::prgcrt"
"CRT: generic cartridge ROML/ROMH load addresses","ROML always $8000; ROMH at $A000 or $E000 depending on GAME/EXROM","c64::prgcrt"
